,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,nextAudacc,nextbank,nextfinan
10,,,,,,,,,,,,,,,,,,,,
16,2024,AGBA Focus,,Finance,,,,,,,,,,,,,,False,False,False
20,end of this semester,big 4,,no,,,,,,,,,,,,,,False,False,False
21,2025,Big 4,Big 4,Not sure,HK,Audit,HK,commercial,not sure,HK,,,,,,,,False,False,False
22,2024,PWC and KPMG,/,/,BOC,Banking Intern,Big 4,Audit,Not sure,Not sure,,,,,,,,True,False,False
23,finish taking courses,CPA firm ,accounting firm ,finance ,HK ,auditing ,HK,auditing ,auditing ,auditing,,,,,,,,True,False,False
24,2024,crowe,loreal,marketing,香港,marketing,香港,marketing manager,advisor,hong kong,,,,,,,,False,False,False
25,2024,2nd tier accounting firm and big4.,No.,Finance or Accounting,Hong Kong,No concrete idea.,Hong Kong,Big4 or Bank.,Bank. ,Hong Kong.,,,,,,,,True,True,False
26,Next year spring,Auditing,Accounting ,,HK,Accountant,HK,Not sure yet,Not sure,HK,,,,,,,,False,False,False
27,Next year,TAL accounting,Accounting,Not sure,Hk,Accounting,Hk,Accounting,Accounting,Hk,,,,,,,,True,False,False
28,next year,Bank,idk,finance ,idk,idk,idk,idk,idk,idk,,,,,,,,False,False,False
29,2024,No,accounting ,MBA,Hong Kong,accounting related,Canada maybe,accounting,accounting,Canada maybe,,,,,,,,True,False,False
30,2024/2025,ashmore asset management ,delloite,law,do not know ,lawyer,law firm ,lawyer ,partner at law firm ,law firm,,,,,,,,False,False,False
31,Summer 2024,Auditing,,,Fire Service Department ,Fire Service Department,,,,,,,,,,,,False,False,False
32,2024,HKBU,IDK,Chinese Language,HK,A job that can assist me to have a better undersatnding of the business world.,HK,A job that can provide me with opportunities to cumulate different skills and knowledgee about a particular industry\, and provide me with a vision of that industry.,A job that I would find it meaningful and can provide certain value to the sciety.,Asia,,,,,,,False,False,False
33,at the end of this semester,PwC,None,None,@HKUST,an Mphil,maybe still in Hong Kong,Not sure but something i like hopefully,i dont know ,i dont know,,,,,,,,False,False,False
34,next year,Shinewing and KPMG,KPMG,,Hong Kong,Audit,Hong Kong,Banking,Banking,Hong Kong,,,,,,,,False,True,False
35,2024spring,accounting clerk,accounting,,,,,,,,,,,,,,,False,False,False
36,May 2024,Accounting,Public sector,,Hong Kong,Accounting,Hong Kong,Accounting,Accounting,Hong Kong,,,,,,,,True,False,False
37,,,,,,,,,,,,,,,,,,,,
38,2024 June,Banking and financial services firms,banking ,,Hong Kong,banking analyst,Hong Kong or the UK,banking analyst,Management roles ,Hong Kong or the UK,,,,,,,,False,True,False
39,2024 spring,NA,NA,Psychology,HONG KONG ,marketing/accounting,HONG KONG,marketing/accounting,marketing/accounting,US/HONG KONG,,,,,,,,True,False,False
40,Finish taking courses,No,Finance industry ,FinTech?,HK,Analyst,HK and mainland China,Jobs related to finance and accounting,Still in the finance industry,HK,,,,,,,,True,False,True
41,2024,No idea ,,,,,,,,,,,,,,,,False,False,False
42,2024~2025,Projects?,Will see\, but either what I did or a Bank,Australia or South Korea,A company that I built,Leading a team,Still the companies that I am building,Active Management,Management,Bank,,,,,,,False,False,False
43,2024,Deloitte ,None ,Finance or economics ,Bank (private or public),Finance related job ,Unsure,Sell side in a public/private bank ,Real estate?,Unsure,,,,,,,,False,True,False
44,Next year ,No. I haven’t get a chance of working for a company ,Not decided yet ,Perhaps finance ,Perhaps Hong Kong ,Not decided yet ,Not decided yet ,Not decided yet ,Not decided yet ,Not decided yet,,,,,,,,False,False,False
45,2025,Audti,N/A,Not sure,Hong Kong,Banking,Hong Kong,Banking,Banking,Hong Kong,,,,,,,,False,True,False
46,2024,FWD,FWD,not really but management,HK,Wealth management consultant (which I have been continuously doing xd),HK and probably mainland,a more professional wealth management consultant and a leader more than just a manager in my own team,a top leader in the industry,same as above,,,,,,,,False,False,False
47,2023,government\, banks,Banking,Public policy,Banking,Banking,not sure,not sure,not sure,not sure,,,,,,,False,False,False
48,2024,audit,audit,social science,hk,audit,hk,audit,teacher,canada,,,,,,,,True,False,False
49,2024,EY and Shinewing,PWC,NA,Big 4,Audit,Viutv,Singer/Artist,Singer/Artist,Viutv,,,,,,,,False,False,False
50,2024,Pwc,Audit,Accounting,Hong Kong,Audit,Hong Kong,Banker,Manager,Hong Kong,,,,,,,,False,True,False
51,Next Spring,,,,,,,,,,,,,,,,,False,False,False
52,2024,,,,Probably big 4,Auditor,Big 4,Auditor,Advisor,International investment banking,,,,,,,,True,False,False
53,2024,Big 4,,,HK,Banking,,,,,,,,,,,,False,False,False
54,2024,,,,Not sure,,,,,,,,,,,,,False,False,False
55,2024,Audit,Audit,HK,HK,Audit,HK,Audit,Audit,HK,,,,,,,,True,False,False
56,Jun2023,Big4,Audit,ACCT,Audit,Assurance in Big4,Big4,Audit in different division,Working on inclusive startup,Working with my own team,,,,,,,,True,False,False
57,After course requirements are filled.,A finance company that deals with stocks and options. ,Finance industry related,Accounting,HongKong,Business consultant or auditing,Hongkong and Mainland China,Startup.,Startup.,Mainland China or HK,,,,,,,,False,False,False
