,0,1,2,3,4,5,6,7,8,9,nextAudacc,nextbank,nextfinan
0,2025,fashion retail,,,,,,,,,False,False,False
1,next year,education centre,Ecommerce,,,,,,,,False,False,False
2,2025,,,,,,,,,,False,False,False
3,2025,,,,,,,,,,False,False,False
4,25,Assurance ,,,,,,,,,False,False,False
5,2026,Marketing and PR industry ,Audit or bank,America ,Hong Kong ,Insurance agents ,Hong Kong,Bank,Consulting ,Foreign countries,False,True,False
6,2025,accounting firm,Casetify,Japanese,marketing industry,work in casetify,HK,still marketing,Own business,Home,False,False,False
7,2025,"deloitte,china overseaes land and investment , Bank of China",notsure,mfin,not sure,not sure,dk,finance related,finance related,finance related,False,False,True
8,2026,,,,AUDITING COMPANY,,ACCOUNTANT,,,AUDITOR,False,False,False
9,2024 Spring,Bain & Company,NA,NA,Asia ,Data Scientist ,Europe,Unsure,Unsure,Europe,False,False,False
10,This semester,"Apoidea, Altive",Tech,schwarzman scholars,San Francisco,Tech,retire,retire,retire,retire,False,False,False
11,after finishing all the courses of both major,I have been working in asset managment company for one year.,investment firm,design!,hong kong,investment firm,hong kong,investment firm,investment firm,hong kong,False,False,False
12,June 2025,pwc,N/A,UK,Hong Kong,relationship manager,bank,relationship manage,Manager,Hong Kong,False,False,False
13,2025,audit intern,data analytics,UK/ US,hk,data analytics,may be aboard,data analytics,investor,no prefrence,False,False,False
14,2025,HASE,Banking ,Economics,Hong Kong,Jobs that related to banking industry,Hong Kong,Relationship manager of a bank,Senior manager of a bank,Hong Kong,False,True,False
15,after next fall semester,,,education,hk,supply chain/operations,japan/australia,,flower business,japan/australia,False,False,False
16,2025,HSBC,Banking,Statistics,Big 4,Accountant/ Analyst,JP Morgan,Analyst,landlord,Korea,False,False,False
17,2025,audit firm,big 4,accouting,big 4,audit,big 4,audit,audit,big 4,True,False,False
18,Within a year,"Several. Mostly in blockchain, I'm an entrepreneur",I'm invited to join a venture capital but I'd be more glad to build my own startup,/,Here,My own boss,Anywhere I pleased,"I'd like to work for assets, not money",Same as above,Retired,True,False,False
19,2025,ngo,Kimberly clark,emba,hk ,internship in accounting assistant ,hk,senior associate ,Project coordinator,beside hk,True,False,False
20,2025,Big 4,,,Hong Kong ,Accounting related ,Hong Kong ,Accountant ,,Australia,True,False,False
21,June 2025,local accounting firms,I am not sure ,Psychology ,Hong Kong,Associate Business Analyst,Hong Kong,Business Analyst,Project Manager,Hong Kong,False,False,False
22,2025,Accounting Firms,Accounting Firms,,HK,Big4,HK,Big4,Bank,HK,True,False,False
